Data Time:05/01/2021 12:52:22, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 12:52:47, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 12:52:49, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 12:52:49, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 07:51:41, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 07:52:03, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 07:52:03, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 07:52:04, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 07:52:04, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 07:54:34, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 07:54:56, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 07:54:57, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 07:54:57, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 07:54:57, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:08:19, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 08:08:41, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 08:08:42, Message:Response received from URL, Event Name:http-//ecu.111.test, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:08:42, Message:Response received from URL, Event Name:https-//vtp.easyjet.com/vt100/, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:08:42, Message:Response received from URL, Event Name:http-//s217124dkvw1220/squaredupv33/logon?ReturnUrl=%2fsquaredupv33%2fpage%2fdashboard-eresapp-dashboard1, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:10:53, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:http-//ecu.1399.test, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 08:11:15, Message:Unable to connect to the remote server, Event Name:http-//ecu.114.test, Control Name:, Line No.:85, Class Name:Program.cs
